2024-06-17 16:26:47.030 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:26:47.071 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:26:47.144 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b7826dcd0> is not in list
2024-06-17 16:26:47.221 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:26:47.256 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:26:47.321 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b87f49fd0> is not in list
2024-06-17 16:26:47.398 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:26:47.420 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:26:47.487 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b78803460> is not in list
2024-06-17 16:26:47.558 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:26:47.580 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:26:47.647 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b786c8550> is not in list
2024-06-17 16:26:47.746 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:26:47.923 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:26:48.008 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b784dd0a0> is not in list
2024-06-17 16:26:48.097 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:26:48.120 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:26:48.122 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W099-001'
2024-06-17 16:26:48.127 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W082-003'
2024-06-17 16:26:48.185 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b736198e0> is not in list
2024-06-17 16:26:48.274 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:26:48.290 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:26:48.291 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W099-001'
2024-06-17 16:26:48.294 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W082-003'
2024-06-17 16:26:48.350 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b7373ba90> is not in list
2024-06-17 16:26:48.412 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:26:48.430 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:26:48.431 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W099-001'
2024-06-17 16:26:48.434 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W082-003'
2024-06-17 16:26:48.491 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b784b3a90> is not in list
2024-06-17 16:26:48.574 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:26:48.592 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:26:48.594 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W099-001'
2024-06-17 16:26:48.598 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W082-003'
2024-06-17 16:26:48.663 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b7847fb20> is not in list
2024-06-17 16:26:48.740 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:26:48.756 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:26:48.757 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W099-001'
2024-06-17 16:26:48.760 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W082-003'
2024-06-17 16:26:48.826 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b73619670> is not in list
2024-06-17 16:26:48.899 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:26:48.915 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:26:48.917 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W099-001'
2024-06-17 16:26:48.920 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W082-003'
2024-06-17 16:26:48.993 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b78646340> is not in list
2024-06-17 16:26:49.068 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:26:49.088 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:26:49.090 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W099-001'
2024-06-17 16:26:49.092 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W082-003'
2024-06-17 16:26:49.150 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b788ef700> is not in list
2024-06-17 16:26:49.219 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:26:49.238 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:26:49.240 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W099-001'
2024-06-17 16:26:49.244 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W082-003'
2024-06-17 16:26:49.309 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b78c37790> is not in list
2024-06-17 16:26:49.396 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:26:49.417 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:26:49.419 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W099-001'
2024-06-17 16:26:49.422 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W082-003'
2024-06-17 16:26:49.489 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b78c0beb0> is not in list
2024-06-17 16:26:49.564 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:26:49.581 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:26:49.582 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W099-001'
2024-06-17 16:26:49.586 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W082-003'
2024-06-17 16:26:49.650 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b784b3040> is not in list
2024-06-17 16:26:49.718 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:26:49.950 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:26:49.952 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W099-001'
2024-06-17 16:26:49.955 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W082-003'
2024-06-17 16:26:50.021 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b73bc60a0> is not in list
2024-06-17 16:26:50.099 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:26:50.116 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:26:50.117 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W099-001'
2024-06-17 16:26:50.120 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W082-003'
2024-06-17 16:26:50.183 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b73619a00> is not in list
2024-06-17 16:26:50.263 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:26:50.287 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:26:50.289 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W099-001'
2024-06-17 16:26:50.293 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W082-003'
2024-06-17 16:26:50.366 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:<amhs.tc_class_sets.Dataset.Task object at 0x7f4b788f8070> is not in list
2024-06-17 16:26:50.444 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W042-002A'
2024-06-17 16:26:50.471 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W117-001'
2024-06-17 16:26:50.472 | ERROR    | amhs.tc_in:assign_same_bay:497 - error:'W099-001'
